tl,u/t,r,pick_ratio,A_f
-1%,10%,500,0.1," 4.930137918359101e-188
"
-1%,10%,500,0.3," 1.6507547016634152e-147
"
-1%,10%,500,0.5," 9.941709767436108e-107
"
-1%,10%,500,0.7," 7.11916109163798e-66
"
-1%,10%,1000,0.1," 3.6000248122070038e-183
"
-1%,10%,1000,0.3," 1.001100369041683e-143
"
-1%,10%,1000,0.5," 5.007316138185251e-104
"
-1%,10%,1000,0.7," 2.9779810437736276e-64
"
-1%,10%,1500,0.1," 2.61082442139995e-178
"
-1%,10%,1500,0.3," 6.03913369057906e-140
"
-1%,10%,1500,0.5," 2.5126217208923345e-101
"
-1%,10%,1500,0.7," 1.2429952563910292e-62
"
-1%,30%,500,0.1," 0.02169475691757314
"
-1%,30%,500,0.3," 0.02279228200897193
"
-1%,30%,500,0.5," 0.02416914220372675
"
-1%,30%,500,0.7," 0.02605030405613021
"
-1%,30%,1000,0.1," 0.02415481818630277
"
-1%,30%,1000,0.3," 0.025300146012631367
"
-1%,30%,1000,0.5," 0.026735287841051357
"
-1%,30%,1000,0.7," 0.028691202678114067
"
-1%,30%,1500,0.1," 0.0267982716705035
"
-1%,30%,1500,0.3," 0.027993544043474893
"
-1%,30%,1500,0.5," 0.029487386202286324
"
-1%,30%,1500,0.7," 0.03151924674003597
"
-1%,50%,500,0.1," 0.30074906818617214
"
-1%,50%,500,0.3," 0.30481232255514257
"
-1%,50%,500,0.5," 0.3098350433635927
"
-1%,50%,500,0.7," 0.31656331956003525
"
-1%,50%,1000,0.1," 0.3153750760621736
"
-1%,50%,1000,0.3," 0.31957055724776934
"
-1%,50%,1000,0.5," 0.3247565665204318
"
-1%,50%,1000,0.7," 0.3317031079523202
"
-1%,50%,1500,0.1," 0.3308310481028723
"
-1%,50%,1500,0.3," 0.3351660489848552
"
-1%,50%,1500,0.5," 0.34052438035246596
"
-1%,50%,1500,0.7," 0.3477013074629349
"
-1%,70%,500,0.1," 1.05267214222639
"
-1%,70%,500,0.3," 1.0638624784991486
"
-1%,70%,500,0.5," 1.0777095352583337
"
-1%,70%,500,0.7," 1.0962702484118099
"
-1%,70%,1000,0.1," 1.1087499201336586
"
-1%,70%,1000,0.3," 1.1205159373766704
"
-1%,70%,1000,0.5," 1.135077172881646
"
-1%,70%,1000,0.7," 1.1545977452027547
"
-1%,70%,1500,0.1," 1.16960248314162
"
-1%,70%,1500,0.3," 1.1820007416609204
"
-1%,70%,1500,0.5," 1.1973465038985736
"
-1%,70%,1500,0.7," 1.2179217676863976
"
-1%,90%,500,0.1," 4.193693647599204
"
-1%,90%,500,0.3," 4.245895426069454
"
-1%,90%,500,0.5," 4.310858594121567
"
-1%,90%,500,0.7," 4.398498809097278
"
-1%,90%,1000,0.1," 4.737115164862302
"
-1%,90%,1000,0.3," 4.797901518824658
"
-1%,90%,1000,0.5," 4.8736028583100754
"
-1%,90%,1000,0.7," 4.975818430494757
"
-1%,90%,1500,0.1," 5.445667523980292
"
-1%,90%,1500,0.3," 5.518182917739524
"
-1%,90%,1500,0.5," 5.608567744281778
"
-1%,90%,1500,0.7," 5.730740103757272
"
10%,10%,500,0.1," 2.650469787155536e-289
"
10%,10%,500,0.3," 2.862689806682405e-226
"
10%,10%,500,0.5," 5.5370295672833076e-163
"
10%,10%,500,0.7," 1.26427426090897e-99
"
10%,10%,1000,0.1," 7.081801331029978e-284
"
